user_id,order_id,product_id,product_name
56463,98,35951,Organic Unsweetened Almond Milk
56463,98,47601,Unsalted Cultured Butter
56463,98,30776,Organic Raw Kombucha Gingerade
56463,98,47333,Queso Fresco
56463,98,45204,Sliced Pepperoni
56463,98,18117,Organic Unbleached AllPurpose Flour
56463,98,46413,Lavender Scent Laundry Detergent
56463,98,46720,Organic Free Range Chicken Broth
56463,98,3880,Corn Maize Tortillas
56463,98,17747,Plastic Wrap
56463,98,25659,Organic Coconut Milk
1173,5743,38647,Organic Raw Sharp Cheddar Cheese
1173,5743,20113,Organic Gluten Free Buckwheat Wildberry Waffles
20755,10754,196,Soda
58281,10905,31654,Ultra Soft Mega Rolls  Bathroom Tissue
58281,10905,19871,Fruit Roll Ups Variety Fruit Flavored Snacks
58281,10905,27355,All Natural Seasoned Waffle Cut Fries
58281,10905,38890,No Pulp Calcium  Vitamin D Pure Premium  Pure Orange Juice
58281,10905,34429,Kumato Tomatoes
58281,10905,33237,Classic Five Cheese Lasagna
43656,12723,13176,Bag of Organic Bananas
43656,12723,19057,Organic Large Extra Fancy Fuji Apple
43656,12723,39877,Organic Granny Smith Apple
43656,12723,11481,Organic Quinoa  Brown Rice With Garlic
43656,12723,40516,Organic Romaine Hearts
43656,12723,15455,Organic Extra Virgin Oil Olive
47640,14043,3819,Organic Mocha Coffee Concentrate
26613,16478,11759,Organic Simply Naked Pita Chips
40641,17207,12341,Hass Avocados
40641,17207,18352,Flax Plus Organic Pumpkin Flax Granola
40641,17207,2228,Organic Frozen Mango Chunks
40641,17207,3896,Organic Honey Sweet Whole Wheat Bread
40641,17207,38051,Shiitake Mushroom
40641,17207,33731,Grated Parmesan
40641,17207,11182,Baby Spinach
18191,17741,13176,Bag of Organic Bananas
18191,17741,5876,Organic Lemon
18191,17741,47042,Organic Red On the Vine Tomato
18191,17741,30561,Plain Bagelettes
11576,17779,24852,Banana
11576,17779,1559,Cherry Pomegranate Greek Yogurt
11576,17779,1890,Organic Large Grade A Eggs
11576,17779,8021,Recycled Paper Towels
3298,19097,38689,Organic Reduced Fat Milk
3298,19097,24852,Banana
3298,19097,23794,Chocolate Milk
3298,19097,31238,Blue Corn Tortilla Chips
3298,19097,47626,Large Lemon
3298,19097,4945,Large Pineapple Chunks
3298,19097,19115,Blueberry Pecan Plus Fiber Fruit  Nut Bar
3298,19097,43352,Raspberries
3298,19097,38662,Roasted Almond Butter
56064,19515,44628,Organic Dijon Mustard
25322,19636,25256,Cultured Low Fat Buttermilk
33842,19794,45603,Trilogy Kombucha Drink
33842,19794,21019,Roasted Red Pepper Hummus
33842,19794,32293,Organic Bunny Fruit Tropical Treat Fruit Snacks
33842,19794,2067,Plus Cranberry Almond  Antioxidants with Macadamia Nuts Bar
4531,20990,8518,Organic Red Onion
57226,21861,35951,Organic Unsweetened Almond Milk
57226,21861,45109,Curcumin   mg
29058,23077,8297,Organic Heavy Cream
29058,23077,13984,Organic Mint
29058,23077,13780,Thyme
35583,23744,432,Vanilla Almond Breeze Almond Milk
35583,23744,33120,Organic Egg Whites
35583,23744,32624,Acorn Squash
35583,23744,43295,Unsweetened Vanilla Almond Milk
53050,24416,31759,Cherrios Honey Nut
31133,25522,26604,Organic Blackberries
27884,25797,8571,Baby Cucumbers
27884,25797,17122,Honeycrisp Apples
25227,25820,36361,Organic Cottage Cheese Blueberry Acai Chia
10291,25918,38988,White English Muffins
43265,26751,1263,American Cheese Slices  Count
43265,26751,9759,Cabernet Marinara w Herbs Pasta Sauce
43265,26751,47626,Large Lemon
43265,26751,26384,Large Brown Eggs
43265,26751,13471,Sausage  Uncured Pepperoni Pizza
